,mobile_name,price,Ratings_And_Reviews,features
0,,,,
1,,,,
2,,,,
3,"Apple iPhone 15 (Black, 128 GB)","₹65,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
4,"Apple iPhone 15 (Black, 256 GB)","₹75,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
5,"Apple iPhone 15 (Blue, 128 GB)","₹65,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
6,"Apple iPhone 15 (Pink, 128 GB)","₹65,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
7,"Motorola g04s (Concord Black, 64 GB)","₹6,999","4.29,963 Ratings & 562 Reviews","4.29,963 Ratings & 562 Reviews"
8,"Motorola g64 5G (Mint Green, 128 GB)","₹13,999","4.221,694 Ratings & 1,182 Reviews","4.221,694 Ratings & 1,182 Reviews"
9,"Apple iPhone 14 Plus (Blue, 128 GB)","₹56,999","4.677,251 Ratings & 4,327 Reviews","4.677,251 Ratings & 4,327 Reviews"
10,"REDMI 13C (Starfrost White, 128 GB)","₹7,699","4.334,187 Ratings & 1,444 Reviews","4.334,187 Ratings & 1,444 Reviews"
11,"Apple iPhone 15 (Blue, 256 GB)","₹75,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
12,"Apple iPhone 15 Plus (Blue, 128 GB)","₹74,999","4.67,753 Ratings & 641 Reviews","4.67,753 Ratings & 641 Reviews"
13,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999","4.529,265 Ratings & 1,862 Reviews","4.529,265 Ratings & 1,862 Reviews"
14,"Apple iPhone 15 (Green, 128 GB)","₹65,499","4.645,052 Ratings & 2,414 Reviews","4.645,052 Ratings & 2,414 Reviews"
15,"Apple iPhone 14 Plus (Midnight, 128 GB)","₹56,999","4.677,251 Ratings & 4,327 Reviews","4.677,251 Ratings & 4,327 Reviews"
16,"REDMI 13C (Stardust Black, 128 GB)","₹7,699","4.334,187 Ratings & 1,444 Reviews","4.334,187 Ratings & 1,444 Reviews"
17,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999","4.21,12,770 Ratings & 7,800 Reviews","4.21,12,770 Ratings & 7,800 Reviews"
18,"REDMI 13C (Starshine Green, 128 GB)","₹7,699","4.334,187 Ratings & 1,444 Reviews","4.334,187 Ratings & 1,444 Reviews"
19,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999","4.524,713 Ratings & 1,751 Reviews","4.524,713 Ratings & 1,751 Reviews"
20,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999","4.529,265 Ratings & 1,862 Reviews","4.529,265 Ratings & 1,862 Reviews"
21,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹22,999","4.529,265 Ratings & 1,862 Reviews","4.529,265 Ratings & 1,862 Reviews"
22,"Motorola g04s (Satin Blue, 64 GB)","₹6,999","4.29,963 Ratings & 562 Reviews","4.29,963 Ratings & 562 Reviews"
23,"Motorola g04s (Sea Green, 64 GB)","₹6,999","4.29,963 Ratings & 562 Reviews","4.29,963 Ratings & 562 Reviews"
24,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999","4.21,12,770 Ratings & 7,800 Reviews","4.21,12,770 Ratings & 7,800 Reviews"
25,"Motorola g64 5G (Ice Lilac, 256 GB)","₹15,999","4.213,308 Ratings & 816 Reviews","4.213,308 Ratings & 816 Reviews"
26,"Apple iPhone 15 Plus (Black, 128 GB)","₹74,999","4.67,753 Ratings & 641 Reviews","4.67,753 Ratings & 641 Reviews"
27,,,,
28,,,,
29,,,,
30,,,,
